# ChronoModel 2.0.18
# lezoux.chr
# Date Format : BC/AD
iter;Lezoux
11001;832,441640627443
11002;918,248478532559
11003;901,614223077209
11004;895,859971341894
11005;806,004312333439
11006;804,650452293736
11007;784,190797591347
11008;849,246343368202
11009;691,986287623523
11010;745,794478210609
11011;762,372815069788
11012;865,956808971831
11013;812,628394262142
11014;814,46151513881
11015;789,806611259386
11016;729,40970728967
11017;740,592926124776
11018;649,680312757666
11019;642,30985625466
11020;646,322907710672
11021;599,362365049385
11022;684,279573105756
11023;671,657603887627
11024;790,628342165582
11025;714,641211618687
11026;638,540465225764
11027;647,038036965863
11028;723,591803249299
11029;703,601885888413
11030;841,04188519723
11031;828,931535557705
11032;827,830267851774
11033;884,746405426834
11034;633,62550969597
11035;668,944448258493
11036;647,705971190025
11037;633,196295335355
11038;754,10088433883
11039;621,991891708357
11040;725,907632147631
11041;683,832187528281
11042;640,681159823949
11043;641,771483913051
11044;667,035418870048
11045;655,108766831709
11046;636,717464295416
11047;631,942091545137
11048;804,38932452261
11049;766,666737625288
11050;803,5290201087
11051;642,545074687962
11052;740,146417814048
11053;720,694851903725
11054;753,408398454724
11055;717,127719151911
11056;766,014071011199
11057;760,51255132058
11058;697,258314461134
11059;718,535995582805
11060;743,951675343129
11061;672,345673880359
11062;661,230016373611
11063;806,193992401743
11064;732,731560061617
11065;753,921278948617
11066;816,626018795143
11067;825,245621056357
11068;886,41892221916
11069;857,269294923006
11070;916,567562636376
11071;859,303860563199
11072;768,64522165023
11073;699,697461753033
11074;695,205170592725
11075;685,046112746721
11076;673,224432914645
11077;700,825562618857
11078;721,794343202487
11079;738,362821250546
11080;524,802450536634
11081;866,225932877559
11082;762,626063724705
11083;941,968421368509
11084;831,850697899478
11085;821,037477599618
11086;819,028408509301
11087;802,703700425524
11088;838,345401403751
11089;794,719774272896
11090;627,071173352289
11091;964,622212579478
11092;792,455787710276
11093;663,48788178699
11094;706,737127997401
11095;734,23335978124
11096;771,53332999397
11097;852,458956772062
11098;724,309178107959
11099;747,71405983694
11100;663,753977551607
11101;543,178326490036
11102;608,641995887024
11103;658,556887521195
11104;511,411658843873
11105;657,148630133773
11106;686,540884583418
11107;689,085704594552
11108;689,127952284959
11109;681,228005348017
11110;758,893275181499
11111;613,900068984372
11112;650,103234827348
11113;766,892092868867
11114;626,385406119402
11115;650,785694497787
11116;609,074294623398
11117;632,122429751601
11118;665,630289351643
11119;714,297145740799
11120;669,932803497671
11121;604,580016437555
11122;833,526224788636
11123;679,385684712058
11124;663,467189074227
11125;600,776916795526
11126;679,793833366651
11127;743,758291129723
11128;742,530486667921
11129;640,243455589116
11130;659,851176346627
11131;700,334718364265
11132;763,306308658769
11133;662,592731215789
11134;728,971738974531
11135;634,850864957234
11136;670,634073486746
11137;682,882786429952
11138;742,00777185982
11139;623,428400647651
11140;616,695626754199
11141;655,515539322368
11142;637,667230881196
11143;647,701165738374
11144;681,671948597152
11145;731,740083690653
11146;743,624839805852
