"Pass","Ethelruda","start dated IUP","GrA-53000","end dated IUP","start Ahmarian","GrA-57597","GrA-53004","GrA-57542","GrA-54846","GrA-57603","GrA-57602","GrA-53001","Egbert","GrA-54847","GrA-57599","GrA-57598","GrA-57544","end Ahmarian","start UP","GrA-57545","GrA-53006","GrA-54848","end UP","start EPI","GrA-53005","end EPI",
259,-45828.7,-42239.1,-41808,-41758.4,-41232.4,-41139.1,-41058.9,-40959.6,-40744,-39865.8,-39621.9,-40220.7,-39649.7,-39517.4,-39575.9,-39381.1,-39287.2,-38912.3,-38358.6,-37529.5,-36381.6,-30278,-29372.4,-28163.6,-27810.6,-27808.8,
260,-45582.5,-42309.7,-41742.8,-41470.6,-41250,-41073.5,-41059.4,-40957.6,-40744,-40415.3,-39621.9,-40220.7,-39935.3,-39517.4,-39575.9,-38964,-39287.2,-38912.3,-38154.2,-37454.8,-36381.6,-30509.1,-30174.2,-28163.6,-28135.9,-27626.9,
261,-44730.8,-42309.7,-41537.2,-41216.1,-41159.7,-41089.2,-40842.2,-40778.3,-40744,-40211.6,-39621.9,-40204.8,-40656.2,-39517.4,-39546.1,-38956,-39487.1,-38912.3,-37879.9,-37448.8,-36410.6,-30443.4,-29882.9,-29387.9,-28157.8,-27626.9,
262,-45156.1,-41584.5,-41537.2,-41482.7,-41122.2,-41070.4,-40855.6,-40756,-40726.2,-40163.9,-39555.7,-40101.1,-40555,-39222.6,-39476.6,-38967.6,-39415.1,-38912.3,-37602.4,-37448.8,-36410.6,-30443.4,-28642.7,-28177.2,-27986.3,-27626.9,
263,-45157.7,-41584.5,-41555.4,-41489.4,-41135.5,-41057.2,-41012.8,-40778.1,-40726.2,-40004.7,-39555.7,-40101.1,-39743.8,-39222.6,-39525.1,-38934.2,-39355.8,-38912.3,-37602.4,-37448.8,-36410.6,-30443.4,-30301.9,-28043.1,-27894.5,-27626.9,
264,-44981.4,-41584.5,-41580.6,-41483.6,-41304.8,-41300.3,-41012.8,-40988.9,-40726.2,-40004.7,-39555.7,-40091.5,-40904.7,-38963.5,-39525.1,-39031.5,-39430.3,-38764.5,-37602.4,-37438.9,-36333.5,-29980.5,-29868.4,-29579.1,-27873,-27626.9,
265,-43416.3,-41584.5,-41543.1,-41473.1,-41385.4,-41316.4,-41064.4,-40917.9,-40726.2,-40004.7,-39555.7,-39826.6,-40635.7,-39172.8,-39525.1,-39147.5,-39430.3,-38764.5,-37862.3,-37438.9,-36333.5,-29980.5,-29361,-28064.3,-27865.2,-27626.9,
266,-45049,-41584.5,-41477.7,-41473.1,-41321.2,-41113.7,-41032.1,-40991.1,-40755.8,-39916.4,-39638,-39896.7,-40028.2,-38968.3,-39608.8,-39207.7,-39518.2,-38882.3,-37483.4,-37438.9,-36333.5,-29980.5,-29500.1,-27979.5,-27855.1,-27626.9,
267,-42896.9,-41584.5,-41558.7,-41470.6,-41412.9,-41289.1,-41032.1,-40861.2,-40755.8,-39916.4,-39638,-39832.9,-40688,-39411.7,-39608.8,-39351.7,-39518.2,-38882.3,-38561.8,-37651.4,-36333.5,-29980.5,-29777.8,-27979.5,-27793.7,-27626.9,
268,-46172.3,-41584.5,-41487.6,-41482.9,-41379.5,-41238.9,-41050.6,-41031,-40787.7,-39772.6,-39724.1,-39909.5,-40637.5,-39016.1,-39251.8,-39561.1,-39556,-38605.7,-38495.2,-37651.4,-36333.5,-29980.5,-29777.8,-27979.5,-27828.2,-27626.9,
269,-45451.2,-41584.5,-41549.5,-41398.7,-41336.9,-41253.6,-41050.6,-41000.4,-40787.7,-40153.3,-39724.1,-40173.8,-40249.3,-39160.1,-39251.8,-39333.7,-39517.2,-38033.8,-37906,-37651.4,-36333.5,-29980.5,-29777.8,-27979.5,-27854.3,-27626.9,
270,-44480.5,-41584.5,-41549.5,-41489.7,-41336.9,-41204.4,-41132.2,-40905.1,-40801.1,-40183.5,-39791.9,-39780.9,-39871.9,-39277.4,-39361.1,-39435.8,-39761.4,-39110.7,-38189,-37651.4,-36333.5,-29980.5,-29021.2,-27979.5,-27884.1,-27626.9,
271,-47026.1,-42644.5,-41540.4,-41438.4,-41247.1,-41226.8,-41192.9,-41133.6,-41119.2,-40296.5,-39854.6,-39842.6,-39930.8,-39292.8,-39467.8,-39578.5,-39821.3,-39110.7,-38431.8,-37651.4,-36333.5,-29980.5,-29543.6,-28207,-27951.4,-27626.9,
272,-42681.7,-41975.7,-41970.8,-41528.5,-41229.4,-41218.1,-41207.1,-41189.6,-41119.2,-40296.5,-39854.6,-39842.6,-40369.3,-39292.8,-39467.8,-39288.1,-39836.3,-39110.7,-37657.9,-37651.4,-36333.5,-29980.5,-29214.9,-28207,-27856.2,-27626.9,
273,-44022.6,-43150.7,-41630,-41506.1,-41362.1,-41279.9,-41191.4,-41154.8,-41118.4,-40289.7,-39844.7,-39832.8,-40407.3,-39290.3,-39537.8,-39539,-39785.6,-39022.5,-38400.4,-37651.4,-36333.5,-29980.5,-29579.8,-28107.4,-27856.2,-27268.4,
274,-43410.7,-42229.7,-41617.2,-41380.1,-41362.1,-41284.7,-41246.3,-41183.7,-41117.2,-40284.2,-39836.9,-39824.9,-40728.2,-39285.5,-39528.4,-39395.9,-39542.1,-39022.5,-37927.3,-37897.1,-36333.5,-29860.9,-28536.8,-28123.9,-27997,-27268.4,
275,-46919.8,-42229.7,-41864.3,-41640.2,-41531.4,-41518.1,-41408.2,-41239.5,-41078.7,-40154.3,-39960.5,-39946.8,-40129.3,-39472.8,-39850.1,-39452.6,-39467.3,-39265.3,-38896.3,-37897.1,-36333.5,-29860.9,-29504.6,-28097,-27918,-27268.4,
276,-45787.3,-42209.5,-42161.2,-41586.6,-41580.1,-41457.3,-41408.2,-41129.8,-41078.7,-40154.3,-39960.5,-39946.8,-40795.8,-39472.8,-39655.8,-39763,-39552.4,-39265.3,-38395.8,-38364.8,-36333.5,-29860.9,-29504.6,-28499.6,-27919.4,-27268.4,
277,-42531.6,-42209.5,-42171.7,-41873.6,-41470.6,-41423.1,-41235.8,-41094.2,-41078.7,-40154.3,-39960.5,-39946.8,-40691.3,-39472.8,-39745.5,-39682.9,-39916,-39330.8,-38430,-38364.8,-36333.5,-29860.9,-29093.7,-28499.6,-28109.6,-27757.8,
278,-42501.7,-42209.5,-42184.8,-42112.1,-41470.6,-41453.9,-41142.3,-41094.2,-41060.8,-40154.3,-39967.8,-39946.8,-40451.9,-39556.9,-39863.9,-39353.5,-39936.7,-39133.9,-37997.5,-37773.5,-36333.5,-29860.9,-29408.5,-28630.6,-28030.1,-27757.8,
279,-43022.2,-42209.5,-42122.5,-42112.1,-41460.3,-41224.8,-41196.7,-41077.8,-40542.8,-40129.8,-39967.8,-39946.8,-39912.9,-39289.7,-39802.5,-39852,-39666.4,-39243.9,-38769.6,-38314.2,-36333.5,-29860.9,-29852.3,-28800.9,-28167.5,-27757.8,
280,-44624.1,-42209.5,-42192.4,-42112.1,-41460.3,-41318.2,-40923.5,-40621.9,-40543.9,-40319,-39967.8,-39955.8,-40194.2,-39289.7,-39802.5,-39311.9,-39840.4,-38882.2,-38664.6,-38295.2,-36319,-29860.9,-29389.5,-28865.9,-28167.5,-27757.8,
281,-45074.9,-42209.5,-42035.7,-41716.8,-41460.3,-41331.1,-40962.1,-40733.2,-40543.9,-40194.6,-40027.1,-40230.8,-40396.1,-39315.9,-39522.6,-39655.3,-39880.9,-38727.2,-38700.4,-38295.2,-36319,-29860.9,-29610,-29281.3,-28472,-27757.8,
282,-45838.7,-42209.5,-42114.5,-41717.8,-41529.7,-41331.1,-40933.8,-40777.3,-40535.1,-40194.6,-40027.1,-40100.9,-40185.1,-39315.9,-39522.6,-39414.8,-39880.9,-39177,-38611.1,-38337.3,-36177.9,-30666.5,-30621,-30311.3,-28472,-27757.8,
283,-44087.9,-42209.5,-42187.6,-42177.7,-41562.1,-41362.4,-40933.8,-40902.2,-40535.1,-40367.9,-40078.2,-40100.9,-40132.9,-39315.9,-39656.9,-39414.8,-39746.7,-39177,-38642.4,-38337.3,-36177.9,-30666.5,-30649.7,-28161.6,-27972.7,-27757.8,
284,-45283.5,-42209.5,-42209.3,-42177.7,-41562.1,-41313,-40933.8,-40908.4,-40224.9,-40367.9,-40078.2,-40100.9,-40727,-39389.1,-39656.9,-39414.8,-39746.7,-38975.2,-38691.7,-37853.3,-36177.9,-30666.5,-29811.6,-28161.6,-28104.1,-27757.8,
285,-45890.8,-42272,-42246.1,-42240.3,-41624.7,-41375.5,-41059.2,-40823.7,-40725.9,-40430.4,-40140.8,-40160.9,-40405.7,-39314.1,-40025.4,-39511.6,-40034.9,-39249.3,-38981.3,-37915.9,-36240.4,-30729.1,-28630.7,-28247.6,-28080.7,-27820.3,
286,-42922.2,-42272,-42252,-41969.4,-41599.1,-41519.5,-41301.6,-40985.9,-40896.2,-40430.4,-40123.3,-40160.9,-40130.9,-39605.1,-40025.4,-39511.6,-39713.7,-39359.6,-38223.8,-37981.6,-36895.1,-30729.1,-30618.3,-28247.6,-28093.2,-27862.2,
287,-45377,-42272,-41995.1,-41889.5,-41599.1,-41449.4,-41301.6,-41217.8,-41096.2,-40050.2,-40149.1,-40160.9,-40459.5,-39917.6,-40025.4,-39511.6,-39713.7,-39359.6,-38927.1,-37981.6,-36895.1,-30729.1,-29452.5,-28247.6,-27922.8,-27862.2,
288,-42993.9,-42950.4,-41927.9,-41760.5,-41659.7,-41503.8,-41306.3,-41263.9,-41166.8,-40267.8,-40991.2,-40435.4,-40652.6,-40153.8,-40149.2,-39889.7,-39708.4,-39674.2,-38927.1,-37981.6,-36996.3,-30798.8,-28359.7,-28186.3,-28088.1,-27862.2,
289,-44401.7,-42950.4,-41927.9,-41819.3,-41642.6,-41503.8,-41366.5,-41244.5,-41166.8,-40267.8,-40991.2,-40286.4,-41037.2,-40145.2,-40149.2,-39891.7,-39675.8,-39392,-38884.8,-37782.1,-35208.6,-30320.2,-28684.2,-28660.7,-28088.8,-27862.2,
290,-46105.5,-42995.4,-41988,-41866.7,-41651.8,-41448.6,-41419,-41244.5,-41166.8,-40267.8,-41194.7,-40340.8,-40543.6,-39993.6,-40149.2,-39709.5,-39480.5,-39392,-38608.5,-37782.1,-35208.6,-30320.2,-29202.9,-28518.5,-28048.5,-27862.2,
291,-47351.4,-43478,-42134.6,-41821.8,-41505.7,-41495.7,-41322.4,-41270.5,-41166.8,-40267.8,-41243.7,-40364.3,-40441.4,-39839.2,-40146.5,-39839.4,-40151.6,-39324.3,-37955.4,-37717.6,-35208.6,-30320.2,-29140.3,-28804.7,-27967.9,-27862.2,
292,-47290.2,-43142.3,-42571.6,-42263,-41446.3,-41387,-41181.9,-41181.8,-41097.3,-40171.2,-41176.5,-40270.6,-40704.6,-40087.5,-39995.2,-39260.9,-39341,-39199.3,-38300.6,-37249.5,-35087.6,-30279.8,-30176.8,-29839.2,-27966.2,-27862.2,
293,-47260.6,-43142.3,-42402.3,-41836.2,-41546.5,-41535.5,-41272.6,-41265.5,-41181.8,-40214.5,-41031.3,-40315.7,-40380.3,-40127.1,-40147,-39677.1,-39426.8,-39193.2,-37854.7,-37249.5,-35087.6,-30279.8,-30092,-29105,-27966.2,-27862.2,
294,-46999.8,-43142.3,-42041.3,-41662.9,-41625.6,-41535.5,-41268.9,-41250.6,-41011.3,-40314.1,-41053.8,-40315.7,-41053.6,-39968.8,-40147,-39531.1,-39602.1,-39193.2,-37854.7,-37249.5,-35087.6,-30279.8,-30080.8,-29884.6,-27903.9,-25120.1,
295,-43806.5,-42947.1,-42443.8,-42305.6,-41674.3,-41523.4,-41248.1,-41183.6,-41172.4,-40314.1,-41155.2,-40315.7,-40618.5,-40227.5,-40268.9,-39531.1,-39468.5,-39193.2,-37524.8,-37249.5,-35087.6,-30279.8,-30052.6,-28180.7,-27903.9,-24985.7,
296,-45995.1,-42947.1,-42443.8,-42173.4,-41674.3,-41605.5,-41204.2,-41154.4,-41097.5,-40254.5,-41132.4,-40256.2,-40504.7,-39975.3,-40207.3,-39510.4,-40035.9,-39129.9,-37967.4,-37249.5,-35118.3,-30279.8,-30052.6,-29466.4,-27946.7,-24587.3,
297,-47316.8,-44484.6,-42268.5,-42173.4,-41674.3,-41430.6,-41225.8,-41166.2,-41097.5,-40358.5,-41132.4,-40256.2,-40728,-39975.3,-40207.3,-39510.4,-39501.8,-38744.6,-37967.4,-37609.4,-35118.3,-30614.3,-30052.6,-29564,-27946.7,-25726.2,
298,-45301.5,-44859.5,-42268.5,-42182.9,-41558.7,-41245.8,-41194.4,-41190.5,-41097.5,-40358.5,-41132.4,-40256.2,-41029.5,-39975.3,-40207.3,-39510.4,-39743.7,-38744.6,-38512.4,-37609.4,-35118.3,-30614.3,-30033.5,-29235,-28143.6,-27852,
299,-46184.8,-44546,-42103.4,-41664.2,-41368.8,-41318.1,-41172.4,-41135.6,-41104.2,-40259.7,-41132.4,-40256.2,-40413,-39975.3,-40207.3,-39510.4,-38986.8,-38859.8,-38414.4,-37640.2,-36285.1,-30614.3,-30558.6,-28590.1,-28143.6,-27852,
300,-45311.8,-41926.6,-41900.5,-41848.8,-41368.8,-41313.5,-41172.4,-41164.4,-41104.2,-40290.7,-41132.4,-40256.2,-41152.3,-40130.8,-40207.3,-39773.6,-39106.5,-38859.8,-38439.2,-37640.2,-36285.1,-30614.3,-29766,-28336.1,-28120.8,-28031.7,
301,-46341.2,-41926.6,-41926.1,-41848.8,-41364.9,-41309.8,-41260.6,-41166,-41100.8,-40297.5,-41129,-40254,-41077.5,-40200.2,-40205.2,-39772.2,-39106.1,-38895.3,-38820.4,-37460.9,-36285.1,-30614.3,-29012,-28343.4,-28196.6,-28031.7,
302,-43762.4,-41926.6,-41728.1,-41710,-41573.3,-41347.9,-41260.1,-41166.3,-41100.8,-40297.5,-40867.7,-40254,-41132.9,-40200.2,-40205.2,-39772.2,-39106.1,-38998.5,-38841.4,-38144,-36285.1,-30614.3,-29109.3,-28343.4,-28173.1,-28031.7,
303,-44852.3,-42107.1,-41711,-41710,-41469.4,-41357.3,-41135.1,-41116,-40724.7,-40247.2,-40817.4,-40203.7,-40331.5,-40149.8,-40161.7,-39721.8,-39055.7,-38939.8,-38666.2,-38237.2,-36285.1,-30614.3,-29459,-28343.4,-28222.8,-28031.7,
304,-46890.5,-42107.1,-41938.8,-41710,-41493.8,-41234.6,-41079.9,-40844.8,-40724.7,-40231.8,-40788.5,-40203.7,-40163.9,-40149.8,-40161.7,-39462.1,-39055.7,-39020.6,-38909,-37715.4,-36285.1,-30614.3,-29411.7,-28343.4,-28290.4,-28031.7,
305,-43993.8,-42107.1,-41939.9,-41602.2,-41493.8,-41234.6,-41024.9,-40837.2,-40835,-40231.8,-40735.9,-40203.7,-40324.8,-40149.8,-40161.7,-39831.8,-39055.7,-39020.6,-38532,-37870.7,-36285.1,-30020.6,-28747.6,-28343.4,-28250,-28031.7,
306,-44376.6,-42630.2,-41749.1,-41645.2,-41480.7,-41158.6,-41024.9,-40884.6,-40835,-40231.8,-40736.9,-40203.7,-40781.4,-40149.8,-40161.7,-39831.8,-39055.7,-39020.6,-38295.8,-37870.7,-36285.1,-30020.6,-28430.4,-28409.4,-28312.6,-28031.7,
307,-44618,-41815.8,-41680.9,-41600.6,-41565.9,-41213.4,-41024.9,-40964.8,-40835,-40291.7,-40736.9,-40307,-40676,-40149.8,-40159.1,-39220.3,-39025,-38937.6,-38906.1,-37870.7,-36285.1,-30020.6,-29403.2,-29323.1,-28230.7,-28031.7,
308,-42538,-41815.8,-41734.1,-41726.1,-41565.9,-41456.1,-40966.4,-40950.4,-40835,-40291.7,-40736.9,-40195.3,-40172,-40149.8,-40159.1,-39481.6,-39025,-38915.9,-38118.5,-37870.7,-36285.1,-30020.6,-29652,-29506.2,-28230.7,-25094.8,
309,-45255.4,-41815.8,-41795.7,-41726.1,-41594.8,-41032.9,-40938.7,-40913.6,-40835,-40291.7,-40659,-40195.3,-40700.4,-40149.8,-40159.1,-39546.6,-39025,-38556.2,-38497.5,-37870.7,-36285.1,-30020.6,-29571,-28312,-27853.4,-27561.5,
310,-42466.1,-42045,-41856.9,-41737.2,-41265.9,-41100,-40987.8,-40936.9,-40909.7,-40291.7,-40659,-40195.3,-40897.6,-39768.4,-40159.1,-39546.6,-39025,-38633.1,-38470,-37870.7,-36285.1,-30020.6,-29086.8,-28218.7,-27623.9,-27561.5,
311,-46515.2,-42251,-42238.8,-41943.2,-41209.1,-41109.9,-41027.8,-40929.9,-40909.7,-40291.7,-40243.8,-40251.8,-40443.8,-39948.3,-40159.1,-39546.6,-39025,-38633.1,-37874.5,-37870.7,-36285.1,-30020.6,-29666.9,-28218.7,-27930.4,-27561.5,
312,-46887.4,-42251,-42124.3,-42055.2,-41370.8,-41105.8,-41068.2,-40951.9,-40909.7,-40291.7,-40406.7,-40251.8,-40904.2,-39417.8,-40159.1,-39546.6,-38796.2,-38633.1,-37951.4,-37870.7,-36285.1,-30020.6,-29365.4,-28086.1,-28054.7,-27561.5,
313,-44361.6,-42251,-42111.5,-42052.1,-41370.8,-41368.8,-40924.8,-40924.1,-40909.7,-40457.3,-40743.6,-40621.7,-40651.4,-39499.2,-40159.1,-39546.6,-38796.2,-38633.1,-38032.4,-37870.7,-36285.1,-30020.6,-28852.3,-28459.8,-28007.7,-27832.6,
314,-43688.9,-42251,-42110,-41998.6,-41399.3,-41223.1,-41154.6,-40921.2,-40909.7,-40260.8,-40228.8,-40358.8,-40366.1,-39827.2,-40159.1,-39235.3,-38796.2,-38594.6,-37878.4,-37870.7,-36285.1,-30020.6,-28725.9,-28572.3,-28386,-27832.6,
315,-43980,-42251,-42141.3,-41886.9,-41399.6,-41209.2,-41047.9,-41032.4,-40910.3,-40375.5,-40209.8,-40360,-40627.7,-39829,-40021.1,-39309.1,-38796.5,-38594.6,-37936.7,-37870.7,-36285.1,-30020.6,-29426.9,-28774.8,-28386,-27832.6,
316,-44630.2,-42251,-42187,-41888.1,-41652.1,-41298.6,-41047.9,-41020.2,-40910.3,-40054.1,-40209.8,-40360,-40931.6,-39829,-40021.1,-39309.1,-38796.5,-38438.9,-38046.9,-37870.7,-36285.1,-30020.6,-29426.9,-28774.8,-28241.1,-27832.6,
317,-46344.1,-42251,-42010.3,-41939.2,-41672.4,-41298.6,-41196.2,-40920.1,-40910.3,-40054.1,-40209.8,-40324.3,-40846.3,-39829,-40021.1,-39558.9,-38796.5,-38497.1,-37930.2,-37870.7,-36285.1,-30020.6,-28843.4,-28770.5,-28241.1,-27832.6,
318,-44334.7,-42251,-42010.3,-41939.2,-41672.4,-41298.6,-41211.3,-41117.9,-40910.3,-40237.2,-40209.8,-40534.6,-40440.1,-39829,-40021.1,-39558.9,-38796.5,-38536.6,-37878,-37870.7,-36285.1,-30020.6,-29576.3,-28261.7,-27961,-27832.6,
319,-45901.4,-42251,-42110.8,-41799.1,-41665.9,-41461.8,-41269.1,-41143.8,-40973.7,-40460.4,-40306.3,-40566.9,-40251.2,-39943.5,-40126.5,-38825.4,-38959.8,-38591.8,-38139.9,-38035.4,-36423.8,-30056.5,-29538.1,-28489.7,-28483.3,-27832.6,
320,-47012.5,-42251,-41894.2,-41738,-41650.2,-41586,-41303.9,-40855.9,-40720.2,-40460.4,-40306.3,-40248.3,-40601.1,-39954.9,-40126.5,-38825.4,-38959.8,-38045.5,-37834.7,-37669.9,-36423.8,-30056.5,-28833.4,-28231.3,-27991.3,-27832.6,
321,-45203.3,-42038.4,-41865.7,-41819.2,-41408.3,-41353.8,-41286.9,-40855.9,-40720.2,-40195.6,-40221.8,-40383.9,-40637.7,-39741.4,-40184.3,-39219,-38959.8,-38927.6,-37799.8,-37578.8,-36179.7,-30056.5,-28993.3,-28231.3,-28218.2,-27832.6,
322,-43240.6,-42038.4,-41937.6,-41736.6,-41519.4,-41315.5,-41207.9,-41016.6,-40720.2,-40195.6,-40417.5,-40719.6,-40332.5,-39846.6,-40072.1,-39219,-38959.8,-38927.6,-38231.8,-37578.8,-36179.7,-30056.5,-28275,-28238,-28172.7,-27832.6,
323,-43109.6,-42038.4,-41896.7,-41729.1,-41519.4,-41468.1,-41175,-40974.3,-40850.7,-40195.6,-40571.1,-40693.5,-40111.1,-39786,-40072.1,-39219,-38959.8,-38952.1,-38856.2,-37578.8,-36179.7,-30056.5,-29678.6,-27976.8,-27948.5,-27832.6,
324,-42275.9,-41921.9,-41801.4,-41729.1,-41669.8,-41352.8,-41214.2,-41007.1,-40850.7,-40195.6,-40399.8,-40763,-40703.2,-39306.9,-40072.1,-39710.7,-38959.8,-38952.1,-37984.5,-37613.8,-36179.7,-30056.5,-29276.6,-28027.4,-27930,-27832.6,
325,-42154.7,-42152.8,-41788.2,-41671.7,-41634.5,-41407.8,-41058.2,-41007.1,-40850.7,-40195.6,-40511,-40763,-40455.7,-39306.9,-40072.1,-39897.5,-38959.8,-38952.1,-37986.2,-37613.8,-36179.7,-30056.5,-28391.7,-28027.4,-27788,-27548.5,
326,-44697.1,-42152.8,-41871.6,-41817.6,-41129.8,-41081.2,-41007.8,-40993.3,-40943.3,-40467.9,-40163,-40763,-40680.7,-39442.8,-40102,-39791.9,-38959.8,-38821.7,-38318.5,-37613.8,-36179.7,-30056.5,-29371.1,-29044.5,-27788,-27548.5,
327,-44949.8,-42152.8,-42078.9,-41631.8,-41176.4,-41084.9,-41057.4,-41004.5,-40943.3,-40211.1,-40163,-40763,-40202.7,-39710.1,-40102,-39791.9,-38959.8,-38821.7,-38318.5,-38247.3,-36179.7,-30056.5,-29519.5,-29234.7,-27846,-27548.5,
328,-42713.7,-42152.8,-42128.2,-42120,-41132.5,-41087.5,-40998.4,-40955.7,-40943.3,-40211.1,-40633.7,-40763,-40312.5,-39710.1,-40102,-39363.5,-38959.8,-38929.4,-38413,-38247.3,-36170.3,-30056.5,-29840.6,-28470,-27727.7,-27548.5,
329,-44835.4,-42152.8,-42116.2,-42106.5,-41132.5,-41091.5,-41037.3,-40960,-40943.3,-40123.5,-40633.7,-40170.8,-40734.1,-39451.1,-40102,-39717.3,-38959.8,-38865.3,-38598.3,-38247.3,-36170.3,-30056.5,-29886.3,-28830,-28180.6,-27548.5,
330,-46989.9,-42152.8,-42112.3,-41437,-41319.9,-41065.5,-40990.9,-40987.6,-40943.3,-40392.3,-40633.7,-40255.6,-40660.2,-39451.1,-40102,-40040.5,-38959.8,-38394,-38385.1,-38247.3,-36170.3,-30056.5,-28980.7,-28501.4,-28207.3,-27548.5,
331,-46488.1,-42152.8,-41854.9,-41514.6,-41238.5,-41195,-41164.9,-41073.1,-41032.2,-40462,-40332.4,-41070.8,-40222.5,-39529.6,-40161.5,-40093,-38787.1,-38548.5,-38258.8,-38247.3,-36170.3,-30056.5,-28965.6,-28602,-27665.4,-27548.5,
332,-42227.7,-41931.3,-41805.1,-41401,-41238.5,-41167.1,-41138.1,-41084.5,-41032.2,-40462,-40332.4,-41070.8,-40836.4,-39529.6,-40161.5,-38950.9,-39434.1,-38574.1,-38400.6,-38247.3,-36170.3,-29965.9,-29912,-29675.5,-27483.7,-27129.5,
333,-41950.8,-41731.5,-41718.5,-41467.9,-41209.7,-41195.6,-41186.5,-41087.2,-41032.2,-40330.7,-40332.4,-41070.8,-40350.5,-39529.6,-40161.5,-38741,-39434.1,-38738.6,-38512.6,-38247.3,-36170.3,-30404.3,-29795.4,-28297.3,-27292,-27129.5,
334,-44471.6,-41896.9,-41805,-41648.5,-41209.7,-41190.3,-41116,-41083.9,-40947.1,-40330.7,-40193.7,-41070.8,-40354.2,-39888.6,-40161.5,-39264.5,-39103.3,-38670.8,-38512.6,-38247.3,-36633.9,-30404.3,-28610.4,-27500.5,-27292,-27129.5,
335,-47296.3,-41896.9,-41723.7,-41490.7,-41209.7,-41205.6,-41095.4,-40975.3,-40947.1,-40477.8,-40193.7,-40512.6,-40503.4,-39888.6,-40161.5,-39264.5,-39103.3,-39085.7,-38334.3,-38089,-36572.8,-30140.2,-27826.9,-27570.6,-27411.7,-27129.5,
336,-45269.3,-41896.9,-41753.6,-41539.9,-41069.8,-41047.5,-40881.2,-40856.8,-40637.1,-40120.6,-40537.9,-40352.4,-40665.8,-39226.7,-40022,-39317.5,-39264.3,-38946.1,-38283.4,-38089,-36671.6,-30140.2,-29381.9,-28813.8,-27216,-27129.5,
337,-43971.4,-43927.6,-41884.9,-41676.5,-41069.8,-41067.8,-41055.9,-40484,-40224.9,-40120.6,-40112.3,-40345.7,-40188.8,-39684.4,-39875.9,-39207.2,-39171.2,-39010.5,-38644.9,-38211.9,-36671.6,-30140.2,-29520.6,-29139,-27851.9,-25103.3,
338,-44857.6,-42566.5,-41884.9,-41595,-41370.8,-41193.4,-41094.5,-40531.3,-40053.9,-40084.9,-40228.8,-40311.2,-40020.7,-39632.3,-39831,-39121.1,-39099.7,-38917.2,-38669.7,-38211.9,-36671.6,-30140.2,-29290.9,-27974.2,-27851.9,-24255.5,
339,-47163.7,-42066.6,-41760.3,-41733.1,-41370.8,-41285.8,-40904.2,-40715.1,-40031.6,-40084.9,-40228.8,-40311.2,-40089.2,-39632.3,-39831,-39173.6,-38966.5,-38917.2,-38277.7,-38211.9,-36671.6,-30140.2,-29161.1,-28074.8,-27851.9,-24255.5,
340,-45060.6,-42066.6,-41916,-41465.7,-41370.8,-41285.8,-40904.2,-40729.2,-40022.7,-40084.9,-40365.5,-40311.2,-40616.6,-39561.3,-39873.7,-39173.6,-38966.5,-38917.2,-38586.5,-38211.9,-36671.6,-30140.2,-29151.5,-28938.7,-27851.9,-23554.3,
341,-44756.2,-42066.6,-42061.4,-41581.9,-41351.9,-41285.8,-41022.2,-40716.9,-40206.8,-40310.1,-40365.5,-40311.2,-40671.8,-40129.9,-39856.9,-39173.6,-38966.5,-38883.4,-38864.8,-38211.9,-36671.6,-30140.2,-29046.4,-28386,-27849,-27240,
342,-44236.1,-43336.1,-41642.1,-41570.3,-41342.6,-41285.8,-41212.2,-40705.1,-40221.2,-40310.1,-40229.1,-40133.8,-40221.3,-39902.3,-39856.9,-39710.2,-38966.5,-38883.4,-38416.9,-38211.9,-36671.6,-30140.2,-29670.4,-28386,-27562.4,-27240,
343,-43128.7,-42497.6,-41642.1,-41518,-41342.6,-41340.6,-41127.7,-40805.5,-40082.6,-39984,-39995.1,-40133.8,-39955.5,-39902.3,-39900.3,-39710.2,-39046.4,-38823.3,-38799.7,-38211.9,-36671.6,-30140.2,-29433.7,-28386,-28097.2,-27240,
344,-46469.8,-42497.6,-42080.7,-42050.1,-41342.6,-41285.9,-41127.7,-40805.5,-40082.6,-39984,-39995.1,-40133.8,-39946.5,-39698.5,-39900.3,-39377.9,-39046.4,-38909.7,-38743.8,-38211.9,-36531.4,-30140.2,-29547.1,-28386,-28097.2,-27240,
345,-46078.4,-42497.6,-42080.7,-41531.2,-41342.6,-41162,-41076.9,-40898.5,-40082.6,-39984,-39995.1,-39977.6,-39967.6,-39698.5,-39900.3,-39377.9,-39046.4,-38909.7,-37978.7,-37925.7,-36300.6,-30120.6,-30002.3,-28386,-28062.7,-27240,
346,-44824.9,-42497.6,-42183.9,-42060.4,-41436.8,-41302.6,-40933.7,-40786.8,-40052,-40377.7,-39995.1,-39977.6,-40713.2,-39698.5,-39900.3,-39377.9,-39046.4,-38909.7,-38670.4,-37925.7,-36300.6,-30120.6,-29751.6,-28386,-27866.7,-27512.4,
347,-47020.8,-42670,-42167.7,-42060.4,-41436.8,-41086.5,-40944.3,-40607.4,-40052,-40184.6,-39912.7,-40349.3,-40415.5,-39500.5,-39900.3,-39909.1,-39132.2,-38886,-38826.3,-37925.7,-36300.6,-30120.6,-29972.3,-29373.7,-28167.6,-27512.4,
