# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
iter,UP Begin,UP End,VI,XI,XII
11083,-38010.0670521303,-30419.8407044896,-30419.8407044896,-36439.1688785174,-38010.0670521303
11084,-37556.641281797,-30887.8045014488,-30887.8045014488,-35584.6309673924,-37556.641281797
11085,-37522.3686068405,-30188.1554534723,-30188.1554534723,-36523.821071653,-37522.3686068405
11086,-38199.4117446581,-30565.5823695876,-30565.5823695876,-36501.1864248642,-38199.4117446581
11087,-38021.6000902119,-29591.7489980907,-29591.7489980907,-35356.1610504548,-38021.6000902119
11088,-37426.1175492656,-30149.4116681599,-30149.4116681599,-35926.7724294417,-37426.1175492656
11089,-37326.0928197644,-29931.5667703315,-29931.5667703315,-36423.3167278078,-37326.0928197644
11090,-37253.2374857264,-30880.7256973346,-30880.7256973346,-36199.620040711,-37253.2374857264
11091,-36661.0346180131,-30418.0853104252,-30418.0853104252,-36554.5515638657,-36661.0346180131
11092,-37083.4713476878,-30515.3723626761,-30515.3723626761,-35918.3429621706,-37083.4713476878
11093,-37279.7855471239,-30191.6014147283,-30191.6014147283,-36128.2047804439,-37279.7855471239
11094,-37324.4882713084,-30547.1778903573,-30547.1778903573,-37193.2192961663,-37324.4882713084
11095,-36795.2371014087,-28876.7354728277,-28876.7354728277,-35911.4592353359,-36795.2371014087
11096,-37351.3440572092,-30748.1145823711,-30748.1145823711,-35661.9949587056,-37351.3440572092
11097,-37492.6688123041,-30572.379789434,-30572.379789434,-35654.6357901435,-37492.6688123041
11098,-37983.2848012632,-30054.1688173294,-30054.1688173294,-36181.6859425483,-37983.2848012632
11099,-37899.1495481146,-29587.2818606898,-29587.2818606898,-36047.1622712344,-37899.1495481146
11100,-38111.8531269764,-29491.0637783391,-29491.0637783391,-35818.5592218617,-38111.8531269764
11101,-37622.9395030369,-30858.753711025,-30858.753711025,-36461.8237687714,-37622.9395030369
11102,-37040.5442820185,-30540.2060735039,-30540.2060735039,-36569.6474834764,-37040.5442820185
11103,-37339.455621698,-30889.6855687434,-30889.6855687434,-34252.6441187301,-37339.455621698
11104,-37606.2889062817,-29500.9650975306,-29500.9650975306,-36991.3384668823,-37606.2889062817
11105,-37626.2269773481,-30263.7306231447,-30263.7306231447,-35886.498999546,-37626.2269773481
11106,-37577.9432848175,-30957.9670833645,-30957.9670833645,-36552.7698489556,-37577.9432848175
11107,-37356.0615862587,-30568.3516121472,-30568.3516121472,-36467.3873774718,-37356.0615862587
11108,-37996.7357113377,-30336.4752405032,-30336.4752405032,-36518.4036219624,-37996.7357113377
11109,-37405.1336789151,-30268.2721866337,-30268.2721866337,-36294.543285131,-37405.1336789151
11110,-38438.3846383313,-30384.3377829041,-30384.3377829041,-36224.9203246346,-38438.3846383313
11111,-37679.7713602236,-29679.4735169357,-29679.4735169357,-35832.0502527097,-37679.7713602236
11112,-37687.5681290542,-29500.071958158,-29500.071958158,-35753.1206153386,-37687.5681290542
11113,-37811.831928699,-29816.9728295405,-29816.9728295405,-36230.8736240419,-37811.831928699
11114,-38171.0559137587,-30094.5148284555,-30094.5148284555,-37015.9242571675,-38171.0559137587
11115,-38110.6704166678,-30098.9382415187,-30098.9382415187,-36635.5695388688,-38110.6704166678
11116,-37884.2831333101,-30368.5451959833,-30368.5451959833,-37384.8201894209,-37884.2831333101
11117,-38152.7178882391,-29813.9373205255,-29813.9373205255,-36030.022970041,-38152.7178882391
11118,-37940.243458147,-30579.4108238187,-30579.4108238187,-36470.6793589621,-37940.243458147
11119,-37816.8831121726,-30547.1821708615,-30547.1821708615,-37328.862121012,-37816.8831121726
11120,-37950.7836413121,-30035.7488097559,-30035.7488097559,-35918.7631315367,-37950.7836413121
11121,-37735.8626958268,-30426.9838557087,-30426.9838557087,-36089.1573579462,-37735.8626958268
11122,-37767.1638282741,-30468.2818168641,-30468.2818168641,-36094.2181205952,-37767.1638282741
11123,-37230.3175919057,-29981.6286515424,-29981.6286515424,-36298.8057442894,-37230.3175919057
11124,-38040.7420893656,-30265.4889614924,-30265.4889614924,-36455.0342198096,-38040.7420893656
11125,-37708.0401072932,-30069.1911924251,-30069.1911924251,-36761.6006514553,-37708.0401072932
11126,-37870.5348149203,-31062.2080641585,-31062.2080641585,-36307.7832957965,-37870.5348149203
11127,-37920.7741556507,-29575.4595322356,-29575.4595322356,-36454.2603116344,-37920.7741556507
11128,-37824.7201399569,-32331.5838301342,-32331.5838301342,-36221.2596780365,-37824.7201399569
11129,-38029.7435148855,-29416.4299273411,-29416.4299273411,-36874.7402202509,-38029.7435148855
11130,-38076.6295604946,-30198.9042424903,-30198.9042424903,-36039.990673213,-38076.6295604946
11131,-37900.8234244896,-30333.4198807264,-30333.4198807264,-35840.8891085634,-37900.8234244896
11132,-38420.5422656597,-30613.6602102127,-30613.6602102127,-36112.3291713003,-38420.5422656597
11133,-37006.5556553283,-31189.5722421699,-31189.5722421699,-36453.9172008085,-37006.5556553283
11134,-38236.6434674055,-30751.9659271177,-30751.9659271177,-36375.3768109896,-38236.6434674055
11135,-38090.3358110541,-30440.8613007175,-30440.8613007175,-36597.0367937664,-38090.3358110541
11136,-37885.9338131715,-29849.8640830982,-29849.8640830982,-37180.7224818376,-37885.9338131715
11137,-37531.6828618431,-29689.9836901007,-29689.9836901007,-36685.2144861106,-37531.6828618431
11138,-37712.1343351921,-32869.8918167425,-32869.8918167425,-37148.3905416133,-37712.1343351921
11139,-38633.9452170479,-30583.2719079658,-30583.2719079658,-36575.9301229758,-38633.9452170479
11140,-37762.7150226435,-29736.030797514,-29736.030797514,-36387.2831089529,-37762.7150226435
11141,-38124.4918290449,-32221.7309501789,-32221.7309501789,-36432.6679858201,-38124.4918290449
11142,-37699.3949504926,-30486.4467756803,-30486.4467756803,-36320.3873620062,-37699.3949504926
11143,-37969.6842103002,-29955.6947838392,-29955.6947838392,-36406.7724657975,-37969.6842103002
11144,-37248.6108677195,-29803.0075794854,-29803.0075794854,-36108.2136837891,-37248.6108677195
11145,-38355.8427346424,-30320.5833981742,-30320.5833981742,-36221.4200523283,-38355.8427346424
11146,-38229.6703639313,-30913.8589027798,-30913.8589027798,-36348.17584958,-38229.6703639313
11147,-35529.7343818871,-31044.9926789113,-31044.9926789113,-35194.3114242735,-35529.7343818871
11148,-36706.1537726461,-31026.24793529,-31026.24793529,-36673.0176741548,-36706.1537726461
11149,-37298.716262943,-30353.0578356373,-30353.0578356373,-36698.7254653277,-37298.716262943
11150,-37158.3607985882,-30409.1068008641,-30409.1068008641,-36557.2622552791,-37158.3607985882
11151,-38196.5896595428,-28844.6946184386,-28844.6946184386,-36633.7716986202,-38196.5896595428
11152,-37458.0124705578,-30574.6675599331,-30574.6675599331,-35923.8216485674,-37458.0124705578
11153,-37042.5774611852,-30593.6215941643,-30593.6215941643,-36492.406865026,-37042.5774611852
11154,-37985.2195654802,-30321.1987568585,-30321.1987568585,-36592.7173271349,-37985.2195654802
11155,-37777.7764628823,-29647.548118035,-29647.548118035,-36781.9771009087,-37777.7764628823
11156,-37604.4170666473,-30253.2820474145,-30253.2820474145,-35581.1442830977,-37604.4170666473
11157,-37849.7877171987,-29986.0808741084,-29986.0808741084,-36344.8038332935,-37849.7877171987
11158,-37873.9069831188,-29999.8687198452,-29999.8687198452,-36000.600157935,-37873.9069831188
11159,-37093.4080459669,-30276.5114936113,-30276.5114936113,-36154.7138567265,-37093.4080459669
11160,-37154.5668426132,-30505.4040032039,-30505.4040032039,-36109.4612712252,-37154.5668426132
11161,-37610.626839631,-30585.062309242,-30585.062309242,-35951.5843972025,-37610.626839631
11162,-38113.9287516508,-28676.6432794563,-28676.6432794563,-36387.3553445329,-38113.9287516508
11163,-37352.4918932381,-29787.1185022359,-29787.1185022359,-35074.4309626869,-37352.4918932381
11164,-38008.3800848013,-30330.6542981731,-30330.6542981731,-34772.7202044045,-38008.3800848013
11165,-38329.2542982422,-29439.0441869651,-29439.0441869651,-36600.6603426775,-38329.2542982422
11166,-37494.0623470274,-29500.463023315,-29500.463023315,-36461.1052078373,-37494.0623470274
11167,-38146.5592734956,-29647.0432890398,-29647.0432890398,-36500.1093732231,-38146.5592734956
11168,-37843.7680498918,-30428.3453976738,-30428.3453976738,-36325.6397233663,-37843.7680498918
11169,-37649.6021691835,-30346.4686470545,-30346.4686470545,-36476.5825050191,-37649.6021691835
11170,-38234.6854445426,-30937.5402446461,-30937.5402446461,-36613.0144472703,-38234.6854445426
11171,-37565.1016762036,-28374.2537086206,-28374.2537086206,-35979.9837289337,-37565.1016762036
11172,-37765.94291002,-30145.0578667345,-30145.0578667345,-35007.1957501272,-37765.94291002
11173,-38572.1262379535,-30859.9849646495,-30859.9849646495,-35890.1170535052,-38572.1262379535
11174,-38219.868593431,-30510.1095786074,-30510.1095786074,-37256.9424283504,-38219.868593431
11175,-37660.1513207043,-30039.1677443305,-30039.1677443305,-36365.8479467565,-37660.1513207043
11176,-37539.9759956128,-30213.6092733,-30213.6092733,-36630.9378981232,-37539.9759956128
11177,-37562.6379824016,-28949.1216608674,-28949.1216608674,-36587.282584648,-37562.6379824016
11178,-37764.7974682013,-30679.219502401,-30679.219502401,-35754.8672063843,-37764.7974682013
11179,-38425.6465314775,-30397.6407958918,-30397.6407958918,-35294.8905762167,-38425.6465314775
11180,-38109.835284168,-30659.8354581704,-30659.8354581704,-35462.2972162621,-38109.835284168
11181,-38088.2689562521,-30713.3562216708,-30713.3562216708,-35226.0681429364,-38088.2689562521
11182,-38004.5129753885,-30725.7231361652,-30725.7231361652,-35182.0793829999,-38004.5129753885
11183,-37460.4417934191,-30353.1608404946,-30353.1608404946,-35837.3098916363,-37460.4417934191
11184,-37842.1752085796,-29628.226129237,-29628.226129237,-36682.3564190351,-37842.1752085796
11185,-38155.1458031966,-30993.0954528795,-30993.0954528795,-36632.0973020212,-38155.1458031966
11186,-37946.432569676,-30000.1658456344,-30000.1658456344,-36602.9466354928,-37946.432569676
11187,-38135.5881662388,-29961.9577542044,-29961.9577542044,-36616.1058496588,-38135.5881662388
11188,-37813.2499255941,-29806.2501474541,-29806.2501474541,-36310.2814620432,-37813.2499255941
11189,-37824.0201130417,-29898.5934170448,-29898.5934170448,-36101.3147868703,-37824.0201130417
11190,-38383.8300159055,-30498.8997906699,-30498.8997906699,-33763.8691654002,-38383.8300159055
11191,-38516.0192008485,-30464.7910633582,-30464.7910633582,-36591.8521513404,-38516.0192008485
11192,-37347.9034538054,-30144.9075426362,-30144.9075426362,-36484.7371872993,-37347.9034538054
11193,-36994.1728136529,-30172.3418819855,-30172.3418819855,-36770.7921703919,-36994.1728136529
11194,-37479.4717973731,-30548.6596216892,-30548.6596216892,-36358.3539482391,-37479.4717973731
11195,-38176.5181602764,-30434.9252680695,-30434.9252680695,-36505.0799801193,-38176.5181602764
11196,-38145.0484386677,-30330.2732363205,-30330.2732363205,-35825.883110713,-38145.0484386677
11197,-38042.2144716117,-30560.6291029292,-30560.6291029292,-36956.286907654,-38042.2144716117
11198,-37897.6320055876,-29591.5380494965,-29591.5380494965,-36424.3388441628,-37897.6320055876
11199,-38222.6462153757,-30497.8619235106,-30497.8619235106,-36443.9940151089,-38222.6462153757
11200,-37040.9813017382,-30361.0697573746,-30361.0697573746,-36161.798582703,-37040.9813017382
11201,-37760.9352905794,-30504.8012075596,-30504.8012075596,-36730.6832598041,-37760.9352905794
11202,-37913.0666310975,-30629.3311377178,-30629.3311377178,-36159.5133146693,-37913.0666310975
11203,-36248.1573163314,-30298.9215295505,-30298.9215295505,-36086.5208494195,-36248.1573163314
11204,-36987.1175619569,-30351.7862959386,-30351.7862959386,-36226.9475013533,-36987.1175619569
11205,-37981.6991725857,-30287.8305903456,-30287.8305903456,-36913.5577339799,-37981.6991725857
11206,-37382.3918997697,-30783.4473974878,-30783.4473974878,-36440.8776719729,-37382.3918997697
11207,-37191.3484584959,-30951.9367011852,-30951.9367011852,-36327.5747839466,-37191.3484584959
11208,-37398.8063463198,-29554.7545919304,-29554.7545919304,-37040.6232734084,-37398.8063463198
11209,-37526.6095922708,-30103.1993187124,-30103.1993187124,-36047.7546339488,-37526.6095922708
11210,-37757.5858072814,-29928.1271883566,-29928.1271883566,-36185.2633094926,-37757.5858072814
11211,-38041.7390542341,-29731.5825663896,-29731.5825663896,-35557.4934965455,-38041.7390542341
11212,-37015.7521382379,-30627.9334353407,-30627.9334353407,-35954.5945681403,-37015.7521382379
11213,-38130.8969070158,-30100.4305308089,-30100.4305308089,-35929.144212188,-38130.8969070158
11214,-37928.0702294818,-30530.0427257994,-30530.0427257994,-36400.2114104492,-37928.0702294818
11215,-37930.0478848865,-29747.8894719667,-29747.8894719667,-36167.142874557,-37930.0478848865
11216,-37403.0442412087,-31106.9250947105,-31106.9250947105,-36428.9933278332,-37403.0442412087
11217,-37840.2840307175,-30797.1460028401,-30797.1460028401,-36292.4287489557,-37840.2840307175
11218,-38273.8763263591,-30577.4032783496,-30577.4032783496,-36400.9467369417,-38273.8763263591
11219,-37744.9067215047,-29760.9670167136,-29760.9670167136,-36589.7290802989,-37744.9067215047
11220,-37426.463341803,-30677.1381037042,-30677.1381037042,-36945.2786573681,-37426.463341803
11221,-37667.7597165149,-30482.1570186543,-30482.1570186543,-35996.742387902,-37667.7597165149
11222,-38011.7898574046,-30245.3092734343,-30245.3092734343,-36485.2390927365,-38011.7898574046
11223,-38295.7461783159,-30193.7947854561,-30193.7947854561,-36394.1428789877,-38295.7461783159
11224,-37490.8533109962,-30677.6904677,-30677.6904677,-36858.0276560157,-37490.8533109962
11225,-37895.2575002685,-30051.450714174,-30051.450714174,-36821.0873568117,-37895.2575002685
11226,-37489.8423599632,-30382.1821790251,-30382.1821790251,-36376.2483293392,-37489.8423599632
11227,-38093.4155300088,-29159.5685200372,-29159.5685200372,-37153.6633009247,-38093.4155300088
11228,-38184.1189282531,-30977.9738170415,-30977.9738170415,-36242.2106102343,-38184.1189282531
11229,-37577.4922939109,-31025.2426575235,-31025.2426575235,-35861.091017279,-37577.4922939109
11230,-38778.0248834939,-30084.8561706527,-30084.8561706527,-37420.3872688231,-38778.0248834939
11231,-37997.8418525763,-29834.7975541622,-29834.7975541622,-35889.4365072831,-37997.8418525763
11232,-37943.1176652039,-30009.5133443218,-30009.5133443218,-36374.6666868393,-37943.1176652039
11233,-37570.2206284212,-30194.253222381,-30194.253222381,-36521.9378360916,-37570.2206284212
11234,-38029.5522255078,-30718.0894443445,-30718.0894443445,-36174.4594836074,-38029.5522255078
11235,-37281.570975134,-30404.917386052,-30404.917386052,-36326.3188669068,-37281.570975134
11236,-36822.8995240581,-30351.5570098216,-30351.5570098216,-35851.5967696913,-36822.8995240581
11237,-37313.7930812006,-30339.2519519495,-30339.2519519495,-35901.1854273815,-37313.7930812006
11238,-37646.5585810196,-30224.8366842953,-30224.8366842953,-36147.591228534,-37646.5585810196
11239,-37450.6642364132,-30541.5020214888,-30541.5020214888,-35981.7510239072,-37450.6642364132
11240,-35885.6569185489,-31118.5314049669,-31118.5314049669,-35820.8754582413,-35885.6569185489
11241,-37883.0009050081,-30453.3274343664,-30453.3274343664,-36841.4726840689,-37883.0009050081
11242,-37558.9604825253,-29741.69055232,-29741.69055232,-36561.7468194711,-37558.9604825253
11243,-38242.6142258548,-30885.3118558488,-30885.3118558488,-36401.1597714812,-38242.6142258548
11244,-37543.9388839532,-30175.8398741738,-30175.8398741738,-36390.4197713739,-37543.9388839532
11245,-38215.6710482607,-30798.5293205893,-30798.5293205893,-36431.8859547719,-38215.6710482607
11246,-36950.8564462084,-29702.5695363426,-29702.5695363426,-36720.078665491,-36950.8564462084
11247,-37029.9677207042,-29738.9632612593,-29738.9632612593,-35753.9725168151,-37029.9677207042
11248,-37882.6740912718,-29474.4397817605,-29474.4397817605,-35878.8310389225,-37882.6740912718
11249,-37604.7462113195,-30157.8029462176,-30157.8029462176,-36525.6839276593,-37604.7462113195
11250,-37366.8983819602,-31057.966036931,-31057.966036931,-36007.3307766502,-37366.8983819602
11251,-37230.6932130276,-30418.9612397323,-30418.9612397323,-36520.7203024183,-37230.6932130276
11252,-37058.6775249954,-30774.1708884621,-30774.1708884621,-36657.3407729315,-37058.6775249954
11253,-37179.2068420361,-30421.0262757359,-30421.0262757359,-36417.7450199455,-37179.2068420361
11254,-37974.767786507,-29912.127504576,-29912.127504576,-36404.9468335759,-37974.767786507
11255,-37579.9895878407,-30269.5419610029,-30269.5419610029,-36731.0906422316,-37579.9895878407
11256,-37807.8707767898,-29792.7070422737,-29792.7070422737,-35506.6272303331,-37807.8707767898
11257,-37780.4294629652,-29714.2574489642,-29714.2574489642,-36466.2015906844,-37780.4294629652
11258,-38059.1678836083,-31771.7313006052,-31771.7313006052,-35570.4291114623,-38059.1678836083
11259,-37781.5403689515,-28924.8074024747,-28924.8074024747,-36337.179000041,-37781.5403689515
11260,-37712.6162960634,-30100.1290101862,-30100.1290101862,-35847.8849658645,-37712.6162960634
11261,-38097.4698609997,-30479.2408999015,-30479.2408999015,-36595.6129599211,-38097.4698609997
11262,-38152.8376245893,-28026.353651783,-28026.353651783,-36219.7507578897,-38152.8376245893
11263,-36246.8720697556,-29874.6896066776,-29874.6896066776,-35824.0003746808,-36246.8720697556
11264,-37908.6195584168,-30322.9390620004,-30322.9390620004,-36270.2432243927,-37908.6195584168
11265,-38058.3207930462,-30714.4838551712,-30714.4838551712,-36504.5438843257,-38058.3207930462
11266,-37593.01486171,-30860.4247168525,-30860.4247168525,-36337.191184381,-37593.01486171
11267,-38196.8091818557,-30321.2372665597,-30321.2372665597,-36226.048105586,-38196.8091818557
11268,-37759.9714713848,-30727.751230765,-30727.751230765,-36227.834803923,-37759.9714713848
11269,-37070.4156089608,-30221.9693070157,-30221.9693070157,-36365.900063132,-37070.4156089608
11270,-36929.4936135248,-30284.6939105132,-30284.6939105132,-34035.1071073535,-36929.4936135248
11271,-37427.1733831345,-30376.1795369843,-30376.1795369843,-33448.7354862261,-37427.1733831345
11272,-37521.3669633632,-30580.6132902143,-30580.6132902143,-36410.7236967975,-37521.3669633632
11273,-37460.5637247541,-29195.6288135767,-29195.6288135767,-36473.2740765965,-37460.5637247541
11274,-37267.5810039344,-30192.2790695444,-30192.2790695444,-36522.2816883064,-37267.5810039344
11275,-37454.6747170947,-30405.9642423221,-30405.9642423221,-36231.6448555458,-37454.6747170947
11276,-37622.9898579809,-31118.617288524,-31118.617288524,-36427.784857894,-37622.9898579809
11277,-38175.203937449,-29657.3358651231,-29657.3358651231,-35861.1709027328,-38175.203937449
11278,-37747.6338041543,-29941.5284056289,-29941.5284056289,-36647.9200709893,-37747.6338041543
11279,-37359.4783730949,-31140.0618827103,-31140.0618827103,-37152.2140456667,-37359.4783730949
11280,-37826.94043881,-28747.6578119754,-28747.6578119754,-35895.5507923112,-37826.94043881
11281,-36716.1887837751,-30382.9800032045,-30382.9800032045,-36486.4675996716,-36716.1887837751
11282,-37465.9714255508,-31028.3125823079,-31028.3125823079,-36568.5153971876,-37465.9714255508
11283,-37544.5839552456,-30607.9156280129,-30607.9156280129,-36162.3577176811,-37544.5839552456
11284,-38009.3809734894,-29718.6707166328,-29718.6707166328,-35830.9032806303,-38009.3809734894
11285,-37570.1942623981,-30156.2771206735,-30156.2771206735,-36998.0264232125,-37570.1942623981
11286,-37653.4820509888,-28799.9029307745,-28799.9029307745,-36710.5329016192,-37653.4820509888
11287,-38087.6260607211,-28804.7126685631,-28804.7126685631,-36703.5017738629,-38087.6260607211
11288,-37709.5893085725,-30199.3681347235,-30199.3681347235,-36324.0793864059,-37709.5893085725
11289,-36781.9315608652,-30594.9650003293,-30594.9650003293,-35906.7610392371,-36781.9315608652
11290,-37449.5842751041,-30381.0330440113,-30381.0330440113,-36649.0297220703,-37449.5842751041
11291,-37759.5888335904,-30605.8487449561,-30605.8487449561,-36512.2546624383,-37759.5888335904
11292,-37365.8707573847,-30051.655577846,-30051.655577846,-37138.2529299958,-37365.8707573847
