# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
iter,EPI Begin,EPI End,V
11110,-29411.1765476928,-29411.1765476928,-29411.1765476928
11111,-28173.0767048214,-28173.0767048214,-28173.0767048214
11112,-28107.9694903667,-28107.9694903667,-28107.9694903667
11113,-27880.5585685573,-27880.5585685573,-27880.5585685573
11114,-27603.1216753376,-27603.1216753376,-27603.1216753376
11115,-28067.3781498055,-28067.3781498055,-28067.3781498055
11116,-28024.5750741407,-28024.5750741407,-28024.5750741407
11117,-27993.9132524865,-27993.9132524865,-27993.9132524865
11118,-28296.6068964079,-28296.6068964079,-28296.6068964079
11119,-27796.2479055927,-27796.2479055927,-27796.2479055927
11120,-28393.3796256422,-28393.3796256422,-28393.3796256422
11121,-28459.7333061377,-28459.7333061377,-28459.7333061377
11122,-27582.1970144918,-27582.1970144918,-27582.1970144918
11123,-27738.3561909508,-27738.3561909508,-27738.3561909508
11124,-28530.6901830086,-28530.6901830086,-28530.6901830086
11125,-28232.1964167923,-28232.1964167923,-28232.1964167923
11126,-27568.2607195811,-27568.2607195811,-27568.2607195811
11127,-27781.6701566841,-27781.6701566841,-27781.6701566841
11128,-28213.2249541794,-28213.2249541794,-28213.2249541794
11129,-27711.565325908,-27711.565325908,-27711.565325908
11130,-27793.0776920906,-27793.0776920906,-27793.0776920906
11131,-28727.6636989579,-28727.6636989579,-28727.6636989579
11132,-28413.2806364017,-28413.2806364017,-28413.2806364017
11133,-27862.1086841183,-27862.1086841183,-27862.1086841183
11134,-27998.3407089293,-27998.3407089293,-27998.3407089293
11135,-27982.2807289064,-27982.2807289064,-27982.2807289064
11136,-28183.603176261,-28183.603176261,-28183.603176261
11137,-28030.615075078,-28030.615075078,-28030.615075078
11138,-27978.4681063091,-27978.4681063091,-27978.4681063091
11139,-28278.1997887532,-28278.1997887532,-28278.1997887532
11140,-28313.9083465178,-28313.9083465178,-28313.9083465178
11141,-27873.1163795738,-27873.1163795738,-27873.1163795738
11142,-27654.7575522159,-27654.7575522159,-27654.7575522159
11143,-27832.6356625789,-27832.6356625789,-27832.6356625789
11144,-27854.9289425807,-27854.9289425807,-27854.9289425807
11145,-27373.1176762371,-27373.1176762371,-27373.1176762371
11146,-25401.3113378316,-25401.3113378316,-25401.3113378316
11147,-28213.6109308337,-28213.6109308337,-28213.6109308337
11148,-28254.2199880106,-28254.2199880106,-28254.2199880106
11149,-28407.4630439662,-28407.4630439662,-28407.4630439662
11150,-27989.164152682,-27989.164152682,-27989.164152682
11151,-28023.1239040149,-28023.1239040149,-28023.1239040149
11152,-28138.3699911861,-28138.3699911861,-28138.3699911861
11153,-28226.506621364,-28226.506621364,-28226.506621364
11154,-27236.7172319918,-27236.7172319918,-27236.7172319918
11155,-27566.1140342746,-27566.1140342746,-27566.1140342746
11156,-27083.4561481363,-27083.4561481363,-27083.4561481363
11157,-27537.1673201756,-27537.1673201756,-27537.1673201756
11158,-27586.5745413483,-27586.5745413483,-27586.5745413483
11159,-27980.8797757277,-27980.8797757277,-27980.8797757277
11160,-28045.1416737495,-28045.1416737495,-28045.1416737495
11161,-28578.6906667326,-28578.6906667326,-28578.6906667326
11162,-28139.8765606111,-28139.8765606111,-28139.8765606111
11163,-28274.439021397,-28274.439021397,-28274.439021397
11164,-27337.5918916724,-27337.5918916724,-27337.5918916724
11165,-28104.1958136587,-28104.1958136587,-28104.1958136587
11166,-27281.0659238215,-27281.0659238215,-27281.0659238215
11167,-28224.3329591885,-28224.3329591885,-28224.3329591885
11168,-28073.57036351,-28073.57036351,-28073.57036351
11169,-27764.1831318862,-27764.1831318862,-27764.1831318862
11170,-27794.5189807004,-27794.5189807004,-27794.5189807004
11171,-27767.2009141134,-27767.2009141134,-27767.2009141134
11172,-28532.4418115987,-28532.4418115987,-28532.4418115987
11173,-27466.2835384245,-27466.2835384245,-27466.2835384245
11174,-27943.0064296458,-27943.0064296458,-27943.0064296458
11175,-28276.2470589329,-28276.2470589329,-28276.2470589329
11176,-27924.7580217775,-27924.7580217775,-27924.7580217775
11177,-28171.3060135826,-28171.3060135826,-28171.3060135826
11178,-28014.0853413376,-28014.0853413376,-28014.0853413376
11179,-27993.7573553856,-27993.7573553856,-27993.7573553856
11180,-27817.6970866271,-27817.6970866271,-27817.6970866271
11181,-28341.4357070258,-28341.4357070258,-28341.4357070258
11182,-27818.5960624821,-27818.5960624821,-27818.5960624821
11183,-28488.1180275952,-28488.1180275952,-28488.1180275952
11184,-28041.9756829473,-28041.9756829473,-28041.9756829473
11185,-27671.9415564988,-27671.9415564988,-27671.9415564988
11186,-27852.0879698246,-27852.0879698246,-27852.0879698246
11187,-28153.7495153047,-28153.7495153047,-28153.7495153047
11188,-25479.3273255674,-25479.3273255674,-25479.3273255674
11189,-27879.105910933,-27879.105910933,-27879.105910933
11190,-28020.4420117239,-28020.4420117239,-28020.4420117239
11191,-27795.0245904101,-27795.0245904101,-27795.0245904101
11192,-29463.3536314062,-29463.3536314062,-29463.3536314062
11193,-26571.9734859179,-26571.9734859179,-26571.9734859179
11194,-28690.4164065357,-28690.4164065357,-28690.4164065357
11195,-29212.9430478182,-29212.9430478182,-29212.9430478182
11196,-28373.4529548777,-28373.4529548777,-28373.4529548777
11197,-27338.9291987972,-27338.9291987972,-27338.9291987972
11198,-28264.6386967253,-28264.6386967253,-28264.6386967253
11199,-27991.0962152233,-27991.0962152233,-27991.0962152233
11200,-28160.4424088239,-28160.4424088239,-28160.4424088239
11201,-28337.9708904594,-28337.9708904594,-28337.9708904594
11202,-26868.2762885946,-26868.2762885946,-26868.2762885946
11203,-27629.9047318232,-27629.9047318232,-27629.9047318232
11204,-28076.3539503398,-28076.3539503398,-28076.3539503398
11205,-28603.06254118,-28603.06254118,-28603.06254118
11206,-27985.5999567835,-27985.5999567835,-27985.5999567835
11207,-27827.156771017,-27827.156771017,-27827.156771017
11208,-28500.5214557075,-28500.5214557075,-28500.5214557075
11209,-28130.673807502,-28130.673807502,-28130.673807502
11210,-28012.5190944745,-28012.5190944745,-28012.5190944745
11211,-27041.7964731849,-27041.7964731849,-27041.7964731849
11212,-28380.1693922208,-28380.1693922208,-28380.1693922208
11213,-28018.7440306132,-28018.7440306132,-28018.7440306132
11214,-27610.2866032266,-27610.2866032266,-27610.2866032266
11215,-27274.6190032386,-27274.6190032386,-27274.6190032386
11216,-27901.2850307173,-27901.2850307173,-27901.2850307173
11217,-27664.3359419376,-27664.3359419376,-27664.3359419376
11218,-28382.3863319396,-28382.3863319396,-28382.3863319396
11219,-27620.9779013589,-27620.9779013589,-27620.9779013589
11220,-27806.3830656982,-27806.3830656982,-27806.3830656982
11221,-28851.2484456783,-28851.2484456783,-28851.2484456783
11222,-27651.359723011,-27651.359723011,-27651.359723011
11223,-28266.0336725737,-28266.0336725737,-28266.0336725737
11224,-27828.0956425541,-27828.0956425541,-27828.0956425541
11225,-28446.3075831203,-28446.3075831203,-28446.3075831203
11226,-28064.8208262803,-28064.8208262803,-28064.8208262803
11227,-28662.5655888639,-28662.5655888639,-28662.5655888639
11228,-28286.7604965502,-28286.7604965502,-28286.7604965502
11229,-27529.3679025416,-27529.3679025416,-27529.3679025416
11230,-27547.1394442751,-27547.1394442751,-27547.1394442751
11231,-27701.3155157917,-27701.3155157917,-27701.3155157917
11232,-28330.0236065793,-28330.0236065793,-28330.0236065793
11233,-27980.5784276604,-27980.5784276604,-27980.5784276604
11234,-27816.0910754977,-27816.0910754977,-27816.0910754977
11235,-28171.8587957151,-28171.8587957151,-28171.8587957151
11236,-27679.9379098777,-27679.9379098777,-27679.9379098777
11237,-28248.9979331928,-28248.9979331928,-28248.9979331928
11238,-27831.6311881716,-27831.6311881716,-27831.6311881716
11239,-27834.4103930457,-27834.4103930457,-27834.4103930457
11240,-27939.2554679538,-27939.2554679538,-27939.2554679538
11241,-27840.3538511975,-27840.3538511975,-27840.3538511975
11242,-28888.8498624695,-28888.8498624695,-28888.8498624695
11243,-27893.5790396236,-27893.5790396236,-27893.5790396236
11244,-28153.2968322199,-28153.2968322199,-28153.2968322199
11245,-28000.9426052983,-28000.9426052983,-28000.9426052983
11246,-28163.2321282673,-28163.2321282673,-28163.2321282673
11247,-28640.5727700623,-28640.5727700623,-28640.5727700623
11248,-27814.0950153093,-27814.0950153093,-27814.0950153093
11249,-26194.8092117459,-26194.8092117459,-26194.8092117459
11250,-28175.149262133,-28175.149262133,-28175.149262133
11251,-27172.1035178327,-27172.1035178327,-27172.1035178327
11252,-28250.282482442,-28250.282482442,-28250.282482442
11253,-27919.4744111455,-27919.4744111455,-27919.4744111455
11254,-28238.3242791888,-28238.3242791888,-28238.3242791888
11255,-27612.5762857843,-27612.5762857843,-27612.5762857843
11256,-27967.0774843679,-27967.0774843679,-27967.0774843679
11257,-27881.0656382592,-27881.0656382592,-27881.0656382592
11258,-29115.4260810176,-29115.4260810176,-29115.4260810176
11259,-27609.1632254171,-27609.1632254171,-27609.1632254171
11260,-27773.1127913481,-27773.1127913481,-27773.1127913481
11261,-28116.9149123626,-28116.9149123626,-28116.9149123626
11262,-26818.4300377704,-26818.4300377704,-26818.4300377704
11263,-27651.6675655762,-27651.6675655762,-27651.6675655762
11264,-28355.2526333978,-28355.2526333978,-28355.2526333978
11265,-27308.3871572374,-27308.3871572374,-27308.3871572374
11266,-27720.9674903504,-27720.9674903504,-27720.9674903504
11267,-28217.262039497,-28217.262039497,-28217.262039497
11268,-28565.5734750088,-28565.5734750088,-28565.5734750088
11269,-27647.8354795139,-27647.8354795139,-27647.8354795139
11270,-28138.4660116752,-28138.4660116752,-28138.4660116752
11271,-27813.263344284,-27813.263344284,-27813.263344284
11272,-28151.802415358,-28151.802415358,-28151.802415358
11273,-28069.3602411447,-28069.3602411447,-28069.3602411447
11274,-27883.0196932093,-27883.0196932093,-27883.0196932093
11275,-28150.7738727677,-28150.7738727677,-28150.7738727677
11276,-28467.9374030084,-28467.9374030084,-28467.9374030084
11277,-28588.4655707168,-28588.4655707168,-28588.4655707168
11278,-28339.5608082307,-28339.5608082307,-28339.5608082307
11279,-28017.3750446829,-28017.3750446829,-28017.3750446829
11280,-28187.8144601077,-28187.8144601077,-28187.8144601077
11281,-28527.4095097675,-28527.4095097675,-28527.4095097675
11282,-28690.3776451546,-28690.3776451546,-28690.3776451546
11283,-27641.2602587429,-27641.2602587429,-27641.2602587429
11284,-27902.8230784184,-27902.8230784184,-27902.8230784184
11285,-27720.3976910902,-27720.3976910902,-27720.3976910902
11286,-28542.932787932,-28542.932787932,-28542.932787932
11287,-28245.7125643117,-28245.7125643117,-28245.7125643117
11288,-27738.5021399112,-27738.5021399112,-27738.5021399112
11289,-28144.7383983916,-28144.7383983916,-28144.7383983916
11290,-28265.0175238935,-28265.0175238935,-28265.0175238935
11291,-28144.3843602836,-28144.3843602836,-28144.3843602836
11292,-28526.9940774433,-28526.9940774433,-28526.9940774433
11293,-28347.6921233391,-28347.6921233391,-28347.6921233391
11294,-28021.3235748096,-28021.3235748096,-28021.3235748096
11295,-27648.5794517506,-27648.5794517506,-27648.5794517506
11296,-27964.021858094,-27964.021858094,-27964.021858094
11297,-28258.0863910738,-28258.0863910738,-28258.0863910738
11298,-27745.4759322789,-27745.4759322789,-27745.4759322789
11299,-27799.8501803276,-27799.8501803276,-27799.8501803276
11300,-27491.6225266787,-27491.6225266787,-27491.6225266787
11301,-27679.6298452353,-27679.6298452353,-27679.6298452353
11302,-27708.4697289385,-27708.4697289385,-27708.4697289385
11303,-28245.6022790953,-28245.6022790953,-28245.6022790953
11304,-28244.8443177281,-28244.8443177281,-28244.8443177281
11305,-28088.5886971352,-28088.5886971352,-28088.5886971352
11306,-28013.5212424045,-28013.5212424045,-28013.5212424045
11307,-27871.3427572989,-27871.3427572989,-27871.3427572989
11308,-27934.4201643193,-27934.4201643193,-27934.4201643193
11309,-28534.2340384902,-28534.2340384902,-28534.2340384902
11310,-29079.2073350276,-29079.2073350276,-29079.2073350276
11311,-28717.7524280526,-28717.7524280526,-28717.7524280526
11312,-28394.1361122861,-28394.1361122861,-28394.1361122861
11313,-28255.0497740123,-28255.0497740123,-28255.0497740123
11314,-27705.9468369798,-27705.9468369798,-27705.9468369798
11315,-27987.5327531,-27987.5327531,-27987.5327531
11316,-27924.9379673157,-27924.9379673157,-27924.9379673157
11317,-27606.2431090632,-27606.2431090632,-27606.2431090632
11318,-27425.6088983305,-27425.6088983305,-27425.6088983305
11319,-28792.5377561189,-28792.5377561189,-28792.5377561189
11320,-27945.2747036928,-27945.2747036928,-27945.2747036928
11321,-27914.669795451,-27914.669795451,-27914.669795451
11322,-27978.5342222055,-27978.5342222055,-27978.5342222055
11323,-28127.433293018,-28127.433293018,-28127.433293018
11324,-28609.4770942397,-28609.4770942397,-28609.4770942397
11325,-28107.3907817776,-28107.3907817776,-28107.3907817776
11326,-27695.6119859696,-27695.6119859696,-27695.6119859696
11327,-27712.9258053514,-27712.9258053514,-27712.9258053514
11328,-28104.0352675833,-28104.0352675833,-28104.0352675833
11329,-28292.7638973732,-28292.7638973732,-28292.7638973732
11330,-27031.6345258145,-27031.6345258145,-27031.6345258145
11331,-27694.4518585752,-27694.4518585752,-27694.4518585752
11332,-28015.816895779,-28015.816895779,-28015.816895779
11333,-27756.0998502123,-27756.0998502123,-27756.0998502123
11334,-28313.093260782,-28313.093260782,-28313.093260782
11335,-27793.2586301091,-27793.2586301091,-27793.2586301091
11336,-28101.62692623,-28101.62692623,-28101.62692623
11337,-27850.4534514644,-27850.4534514644,-27850.4534514644
11338,-27881.2528288286,-27881.2528288286,-27881.2528288286
11339,-26574.1030694254,-26574.1030694254,-26574.1030694254
11340,-28212.7315383023,-28212.7315383023,-28212.7315383023
11341,-26434.5733576282,-26434.5733576282,-26434.5733576282
11342,-27522.6879948583,-27522.6879948583,-27522.6879948583
11343,-28268.4448068837,-28268.4448068837,-28268.4448068837
11344,-27822.2732674862,-27822.2732674862,-27822.2732674862
11345,-27733.6410212992,-27733.6410212992,-27733.6410212992
11346,-28055.2935673939,-28055.2935673939,-28055.2935673939
11347,-28798.9673978013,-28798.9673978013,-28798.9673978013
11348,-27936.6706969518,-27936.6706969518,-27936.6706969518
11349,-27272.643064733,-27272.643064733,-27272.643064733
11350,-27060.2668491647,-27060.2668491647,-27060.2668491647
11351,-28511.9462901321,-28511.9462901321,-28511.9462901321
11352,-28510.7200781124,-28510.7200781124,-28510.7200781124
11353,-28034.6160635377,-28034.6160635377,-28034.6160635377
11354,-27387.4909847817,-27387.4909847817,-27387.4909847817
11355,-27886.8423164095,-27886.8423164095,-27886.8423164095
11356,-28187.3576487371,-28187.3576487371,-28187.3576487371
11357,-28458.9205980906,-28458.9205980906,-28458.9205980906
11358,-27952.5102006349,-27952.5102006349,-27952.5102006349
11359,-28740.548006754,-28740.548006754,-28740.548006754
11360,-27706.5821765506,-27706.5821765506,-27706.5821765506
11361,-27976.380361771,-27976.380361771,-27976.380361771
11362,-28296.4919916686,-28296.4919916686,-28296.4919916686
11363,-28081.285710938,-28081.285710938,-28081.285710938
11364,-28822.7701515521,-28822.7701515521,-28822.7701515521
11365,-28014.460367028,-28014.460367028,-28014.460367028
11366,-27931.3575372797,-27931.3575372797,-27931.3575372797
11367,-28444.0292296052,-28444.0292296052,-28444.0292296052
11368,-27047.3979160952,-27047.3979160952,-27047.3979160952
11369,-28754.7365132917,-28754.7365132917,-28754.7365132917
11370,-28521.3958867076,-28521.3958867076,-28521.3958867076
11371,-27822.1051232053,-27822.1051232053,-27822.1051232053
11372,-28411.5496197859,-28411.5496197859,-28411.5496197859
11373,-28347.4028088979,-28347.4028088979,-28347.4028088979
11374,-27514.5726584844,-27514.5726584844,-27514.5726584844
11375,-28058.6711270913,-28058.6711270913,-28058.6711270913
11376,-27971.2268908329,-27971.2268908329,-27971.2268908329
11377,-28092.1961755563,-28092.1961755563,-28092.1961755563
11378,-28049.0371818527,-28049.0371818527,-28049.0371818527
11379,-28586.1487267158,-28586.1487267158,-28586.1487267158
11380,-28031.1338523107,-28031.1338523107,-28031.1338523107
11381,-28183.9883382945,-28183.9883382945,-28183.9883382945
11382,-28072.9030914143,-28072.9030914143,-28072.9030914143
11383,-27907.6689246988,-27907.6689246988,-27907.6689246988
11384,-28545.6458540665,-28545.6458540665,-28545.6458540665
11385,-28022.2033812118,-28022.2033812118,-28022.2033812118
11386,-28292.8895988421,-28292.8895988421,-28292.8895988421
11387,-28274.6002455377,-28274.6002455377,-28274.6002455377
11388,-27585.9553760673,-27585.9553760673,-27585.9553760673
11389,-27923.0728018494,-27923.0728018494,-27923.0728018494
11390,-28024.0519575823,-28024.0519575823,-28024.0519575823
11391,-28987.1880360632,-28987.1880360632,-28987.1880360632
11392,-27756.3153207672,-27756.3153207672,-27756.3153207672
11393,-27595.4146056513,-27595.4146056513,-27595.4146056513
11394,-27989.3587599684,-27989.3587599684,-27989.3587599684
11395,-27611.6347300943,-27611.6347300943,-27611.6347300943
11396,-27533.1739678556,-27533.1739678556,-27533.1739678556
11397,-28840.4455168468,-28840.4455168468,-28840.4455168468
11398,-28682.6905316796,-28682.6905316796,-28682.6905316796
11399,-27901.6399114423,-27901.6399114423,-27901.6399114423
11400,-28021.4110410738,-28021.4110410738,-28021.4110410738
11401,-26851.8084888176,-26851.8084888176,-26851.8084888176
11402,-28034.876869427,-28034.876869427,-28034.876869427
11403,-27671.9387340144,-27671.9387340144,-27671.9387340144
11404,-27702.9454675017,-27702.9454675017,-27702.9454675017
11405,-28171.0520603644,-28171.0520603644,-28171.0520603644
11406,-28086.6672024115,-28086.6672024115,-28086.6672024115
11407,-28022.7128851059,-28022.7128851059,-28022.7128851059
11408,-28097.2696226048,-28097.2696226048,-28097.2696226048
11409,-28506.8684470502,-28506.8684470502,-28506.8684470502
11410,-28338.0780304467,-28338.0780304467,-28338.0780304467
11411,-28074.1917070022,-28074.1917070022,-28074.1917070022
11412,-27174.676530132,-27174.676530132,-27174.676530132
11413,-27743.7088230874,-27743.7088230874,-27743.7088230874
11414,-27599.6338711216,-27599.6338711216,-27599.6338711216
11415,-27698.8644196581,-27698.8644196581,-27698.8644196581
11416,-28117.5650847579,-28117.5650847579,-28117.5650847579
11417,-28075.4041495303,-28075.4041495303,-28075.4041495303
11418,-28022.6182778032,-28022.6182778032,-28022.6182778032
11419,-27871.8497665586,-27871.8497665586,-27871.8497665586
11420,-28058.7604324426,-28058.7604324426,-28058.7604324426
11421,-27997.8774981639,-27997.8774981639,-27997.8774981639
11422,-27457.1163986932,-27457.1163986932,-27457.1163986932
11423,-28578.8976209377,-28578.8976209377,-28578.8976209377
11424,-28148.4488400711,-28148.4488400711,-28148.4488400711
11425,-28190.7969087768,-28190.7969087768,-28190.7969087768
11426,-27942.0584843977,-27942.0584843977,-27942.0584843977
11427,-27429.1180261266,-27429.1180261266,-27429.1180261266
11428,-27427.2263923389,-27427.2263923389,-27427.2263923389
11429,-28280.201652669,-28280.201652669,-28280.201652669
11430,-29167.2612889654,-29167.2612889654,-29167.2612889654
11431,-27549.7551672062,-27549.7551672062,-27549.7551672062
11432,-28944.1381201576,-28944.1381201576,-28944.1381201576
11433,-26770.1333522422,-26770.1333522422,-26770.1333522422
11434,-27611.8606062783,-27611.8606062783,-27611.8606062783
11435,-28184.1902864973,-28184.1902864973,-28184.1902864973
11436,-28116.5316638392,-28116.5316638392,-28116.5316638392
11437,-28635.0422741916,-28635.0422741916,-28635.0422741916
11438,-28043.4695008133,-28043.4695008133,-28043.4695008133
11439,-28216.100371612,-28216.100371612,-28216.100371612
11440,-27955.1402319548,-27955.1402319548,-27955.1402319548
11441,-27552.6988372795,-27552.6988372795,-27552.6988372795
11442,-27805.8412823213,-27805.8412823213,-27805.8412823213
11443,-27104.4100647853,-27104.4100647853,-27104.4100647853
11444,-27664.3810966604,-27664.3810966604,-27664.3810966604
11445,-28132.8012599714,-28132.8012599714,-28132.8012599714
11446,-28070.0567106808,-28070.0567106808,-28070.0567106808
11447,-28460.263515549,-28460.263515549,-28460.263515549
11448,-28849.9231484438,-28849.9231484438,-28849.9231484438
11449,-27901.3514747015,-27901.3514747015,-27901.3514747015
11450,-27669.6260588801,-27669.6260588801,-27669.6260588801
11451,-27450.8071361772,-27450.8071361772,-27450.8071361772
11452,-28338.6821008661,-28338.6821008661,-28338.6821008661
11453,-27908.5222158354,-27908.5222158354,-27908.5222158354
11454,-28040.4978638967,-28040.4978638967,-28040.4978638967
11455,-27889.3553949699,-27889.3553949699,-27889.3553949699
11456,-27908.6235216485,-27908.6235216485,-27908.6235216485
11457,-27914.6684225093,-27914.6684225093,-27914.6684225093
11458,-28193.8171712264,-28193.8171712264,-28193.8171712264
11459,-28175.6691014798,-28175.6691014798,-28175.6691014798
11460,-28383.3585879126,-28383.3585879126,-28383.3585879126
11461,-27897.0227152109,-27897.0227152109,-27897.0227152109
11462,-29656.6474333716,-29656.6474333716,-29656.6474333716
11463,-27767.8223911629,-27767.8223911629,-27767.8223911629
11464,-27278.9253629628,-27278.9253629628,-27278.9253629628
11465,-28268.4362376977,-28268.4362376977,-28268.4362376977
